name,n_obs,total_return,cagr,ann_volatility,sharpe,sortino,calmar,max_drawdown,max_drawdown_abs,cvar_95,cdar_95,skewness,kurtosis,time_in_drawdown_pct,avg_dd_duration_days,max_dd_duration_days,hit_rate,tail_ratio,avg_daily_return,best_day,worst_day
time_series_momentum,4075,0.9181963487015905,0.041104313076941956,0.10096111280378649,0.44989652326872004,0.38785203998026063,0.2029628855753581,-0.20252132778078943,0.20252132778078943,0.016001249491444016,0.18387383395462528,-1.7702416092501265,36.43038184300332,87.21472392638037,115.4047619047619,805.0,0.5158282208588957,0.9584153679924978,0.00018024624458636742,0.06982671792185012,-0.10438097889119602
cross_sectional_momentum,4075,0.4663759490859749,0.02395457965563419,0.07120328696267385,0.3681236275228032,0.34106901432449993,0.13111920713055897,-0.1826931399286297,0.1826931399286297,0.01121632098582706,0.17439025660674062,-0.49486351047666083,17.394696423834144,87.16564417177915,79.1470588235294,1071.0,0.49447852760736194,0.9769799950337519,0.00010401433447716912,0.04908341323316891,-0.06114807847257284
mean_reversion,4075,-0.008181829499175342,-0.0005079205498785822,0.01030786451411711,-0.04413288469789471,-0.004784492949166213,-0.01434714006289853,-0.035402215887754274,0.035402215887754274,2.9501173162901096e-05,0.03054110293030529,-0.7531917897792227,254.23459492633884,97.30061349693251,877.0,1512.0,0.007361963190184049,0.0,-1.8052214130279796e-06,0.013411897258841655,-0.014868538906647412
distance_pairs,4075,-0.1733394342670408,-0.01170300520774259,0.03097989541589313,-0.3643896437381973,-0.31288974841034295,-0.05718425544353859,-0.20465432516294035,0.20465432516294035,0.004621577874029843,0.2041966579490028,-4.9726859735128315,118.3815029676152,93.61963190184049,43.0,120.0,0.4665030674846626,0.5844313553414269,-4.4796639101761546e-05,0.018277808041803956,-0.04188990046521014
kalman_pairs,4075,-0.1493021278774731,-0.009949669783318571,0.019481048772114675,-0.503524334119278,-0.41738977654311316,-0.05628009868454213,-0.1767884210560445,0.1767884210560445,0.002195964590631254,0.17507337041387616,-2.3975760513724356,204.16691236160466,92.9079754601227,8.0,8.0,0.4080981595092025,0.8756282090086533,-3.892532583700087e-05,0.026441195985014335,-0.029371837660295233
volatility_breakout,4075,0.4272949773093597,0.022245495122280357,0.08491730947171598,0.3014217599122309,0.30406122391638357,0.13296843063137653,-0.16729907254414939,0.16729907254414939,0.011867188043218407,0.1558585196284361,1.0982059005176124,60.37712966524138,98.15950920245399,384.2857142857143,1848.0,0.4954601226993865,0.9734951554229064,0.00010157113042847692,0.09080101586989521,-0.07020172996791063
carry,4075,-0.08587476296933905,-0.005537128473000363,0.07254533545302157,-0.0400671148704078,-0.03664394720962059,-0.028369570585411195,-0.19517843797916995,0.19517843797916995,0.011589768680162087,0.19515730677831705,-1.7414238582884005,33.36909795344849,98.50306748466258,303.0833333333333,2635.0,0.5173006134969325,0.9650003263626529,-1.1534453527414612e-05,0.03977067125944678,-0.07648150438619372
factor_momentum,4075,-0.19661631951675707,-0.013447067161318715,0.023919197502608906,-0.5540110885542854,-0.4857279843557014,-0.06826421945790206,-0.19698558436768476,0.19698558436768476,0.0038246058128278805,0.19698258398744242,-1.4101139966882283,58.00493178081912,93.20245398773007,0.0,0.0,0.4682208588957055,0.6661723571196176,-5.2585320022878185e-05,0.020501481130935872,-0.019476882905921374
pca_stat_arb,4075,-0.06019812587327078,-0.003832079735241467,0.05869646010674474,-0.03608069505874514,-0.03531833095738561,-0.01883211288276295,-0.2034864467464494,0.2034864467464494,0.008562804762257242,0.1614704613302279,0.17375678162049982,6.9837643909972,91.75460122699387,319.8333333333333,1792.0,0.4645398773006135,1.0022206634147457,-8.40400427833038e-06,0.0332879135701134,-0.029219807520942435
vol_managed,4075,4.132761069411897,0.10644150178288148,0.10591074038260563,1.0083752268893653,0.9214622381826856,0.67320728649738,-0.15811103640408342,0.15811103640408342,0.016575143592425703,0.1359897011053652,-0.9130540948438343,4.735711732780729,85.88957055214725,58.41558441558441,702.0,0.5533742331288344,0.9868821163733621,0.00042380066215607384,0.02843026736545256,-0.05564503805557866
pead,4075,0.38365109573612655,0.020284182034688625,0.05926632197836952,0.3684041639118323,0.2130909941143731,0.14532844660480124,-0.13957475297213073,0.13957475297213073,0.009629600586003071,0.1290034415906593,0.9008132901609474,16.556434873432313,92.02453987730061,333.125,1740.0,0.16049079754601228,1.034622341902493,8.664269760543917e-05,0.041265776149567515,-0.022578427888033815
residual_momentum,4075,0.026208692239721554,0.0016011638609487733,0.06798527069414717,0.05752409170562512,0.0558085972201828,0.008836330688220812,-0.18120234715561176,0.18120234715561176,0.009847289506699672,0.15354234706106484,-0.059183357504955875,3.010838218207882,91.50920245398773,368.2142857142857,2616.0,0.46208588957055213,1.0088217224571574,1.551901169064234e-05,0.025663864758808053,-0.025093648821496645
low_risk_bab,4075,-0.03273781468906922,-0.002056286197888113,0.06775557290042512,0.0035009771479911204,0.0032932268480212797,-0.009151772759091409,-0.22468720017609595,0.22468720017609595,0.010466999958106453,0.2246266434616854,-0.08338188251785664,7.9655855277395045,91.11656441717791,174.76923076923077,549.0,0.4807361963190184,0.9461911181299864,9.413123506882332e-07,0.0391494108844344,-0.03219739426738002
short_term_reversal,4075,-0.1084047965288496,-0.007070651456384525,0.04298712186496367,-0.1435703979641892,-0.1417625102424561,-0.03449514767624086,-0.20497524819279322,0.20497524819279322,0.007005239602866487,0.20490461106340693,-0.12080308127304931,10.861988787433658,98.33128834355828,337.0,1855.0,0.49668711656441716,0.9879796390545512,-2.449078648209497e-05,0.020383585357406725,-0.027025301236462716
vol_risk_premium,4075,0.22482287119847633,0.012619987274122613,0.08127773741655131,0.19471740880648006,0.1973433473057317,0.05364894805273797,-0.2352327069249693,0.2352327069249693,0.009403213737223401,0.23510796480089022,2.2509572690153963,191.34460096959396,96.07361963190183,213.9375,3283.0,0.518282208588957,1.1333414003928448,6.28023429500173e-05,0.11538240314635453,-0.09540329034604567
PORTFOLIO,4075,2.9085695634167754,0.08795435293403697,0.06528164273902196,1.3241713089976657,1.2996841285371143,0.9873220788151762,-0.08908374969147405,0.08908374969147405,0.00948079975244878,0.06359302840026833,-0.18708490321961616,3.0531641636136153,85.15337423312883,55.94736842105263,455.0,0.5506748466257668,1.0176745468159412,0.00034303205682241527,0.030230721186246177,-0.02942624787360126
